depth,100%S,90%S,80%S,70%S,60%S,50%S,40%S,30%S,20%S,10%F
01,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12
02,0.12,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1
03,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1
04,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.11
05,0.11,0.12,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11
06,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.11
07,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.11
08,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.11
09,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.11
10,844.79,655.02,717.36,212.46,274.62,547.11,560.77,725.75,242.04,0.15
