depth,100%S,90%S,80%S,70%S,60%S,50%S,40%S,30%S,20%S,10%F
1,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.1,0.11,0.1
2,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.11,0.1
3,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1
4,0.09,0.1,0.1,0.09,0.09,0.09,0.1,0.1,0.11,0.1
5,0.09,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.1,0.1
6,0.09,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.11,0.1
7,13.11,11.53,12.44,11.99,11.52,9.39,9.04,11.17,10.61,0.12
