depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%S	|10%F
01	|0.12	|0.12	|0.12	|0.12	|0.11	|0.14	|0.1	|0.11	|0.11	|0.11
02	|0.1	|0.11	|0.13	|0.11	|0.1	|0.14	|0.11	|0.1	|0.11	|0.12
03	|0.12	|0.1	|0.13	|0.1	|0.12	|0.1	|0.1	|0.1	|0.09	|0.11
04	|0.09	|0.08	|0.11	|0.12	|0.11	|0.11	|0.11	|0.09	|0.09	|0.12
05	|0.1	|0.11	|0.11	|0.12	|0.11	|0.13	|0.11	|0.09	|0.1	|0.09
06	|0.09	|0.11	|0.09	|0.09	|0.08	|0.12	|0.09	|0.1	|0.11	|0.09
07	|0.1	|0.12	|0.1	|0.12	|0.11	|0.09	|0.1	|0.09	|0.12	|0.11
08	|0.1	|0.09	|0.11	|0.13	|0.11	|0.09	|0.1	|0.1	|0.11	|0.08
09	|0.12	|0.11	|0.11	|0.1	|0.12	|0.1	|0.1	|0.1	|0.1	|0.11
10	|347.7	|577.17	|476.78	|788.38	|266.82	|353.45	|610.85	|225.64	|312.25	|0.12
