depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%F	|10%F
01	|0.09	|0.09	|0.09	|0.11	|0.09	|0.08	|0.1	|0.1	|0.1	|0.08
02	|0.09	|0.09	|0.1	|0.09	|0.07	|0.1	|0.1	|0.1	|0.08	|0.09
03	|0.1	|0.07	|0.08	|0.1	|0.08	|0.09	|0.09	|0.08	|0.1	|0.08
04	|1.12	|1.23	|1.1	|1.08	|1.04	|1.04	|1.23	|0.92	|0.72	|0.1
05	|-	|-	|-	|-	|-	|-	|-	|-	|0.92	|-
06	|-	|-	|-	|-	|-	|-	|-	|-	|1.15	|-
07	|-	|-	|-	|-	|-	|-	|-	|-	|1.41	|-
08	|-	|-	|-	|-	|-	|-	|-	|-	|1.64	|-
09	|-	|-	|-	|-	|-	|-	|-	|-	|2.04	|-
10	|-	|-	|-	|-	|-	|-	|-	|-	|2.44	|-
