depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%S	|10%F
01	|0.11	|0.12	|0.11	|0.12	|0.11	|0.11	|0.12	|0.1	|0.12	|0.14
02	|0.11	|0.14	|0.1	|0.1	|0.11	|0.11	|0.12	|0.12	|0.11	|0.11
03	|0.11	|0.1	|0.11	|0.1	|0.11	|0.1	|0.13	|0.1	|0.1	|0.1
04	|0.09	|0.13	|0.13	|0.08	|0.09	|0.09	|0.11	|0.11	|0.12	|0.12
05	|0.09	|0.11	|0.11	|0.11	|0.09	|0.09	|0.08	|0.11	|0.11	|0.11
06	|0.1	|0.12	|0.1	|0.1	|0.1	|0.09	|0.12	|0.1	|0.13	|0.1
07	|0.09	|0.12	|0.12	|0.09	|0.11	|0.1	|0.12	|0.1	|0.13	|0.09
08	|0.07	|0.1	|0.12	|0.1	|0.1	|0.12	|0.09	|0.09	|0.09	|0.11
09	|0.08	|0.11	|0.11	|0.13	|0.1	|0.09	|0.11	|0.1	|0.11	|0.09
10	|143.96	|707.69	|453.39	|295.15	|390.09	|183.2	|272.21	|175.39	|205.02	|0.15
