depth	|100%S	|90%S	|80%S	|70%S	|60%S	|50%S	|40%S	|30%S	|20%F	|10%F
01	|0.11	|0.09	|0.12	|0.1	|0.1	|0.1	|0.1	|0.11	|0.07	|0.09
02	|0.1	|0.07	|0.1	|0.09	|0.09	|0.09	|0.09	|0.09	|0.09	|0.11
03	|0.1	|0.08	|0.08	|0.08	|0.12	|0.1	|0.09	|0.1	|0.09	|0.11
04	|1.13	|1.19	|1.11	|1.05	|1.05	|1.03	|0.95	|0.91	|0.67	|0.09
05	|-	|-	|-	|-	|-	|-	|-	|-	|0.93	|-
06	|-	|-	|-	|-	|-	|-	|-	|-	|1.14	|-
07	|-	|-	|-	|-	|-	|-	|-	|-	|1.46	|-
08	|-	|-	|-	|-	|-	|-	|-	|-	|1.76	|-
09	|-	|-	|-	|-	|-	|-	|-	|-	|2.07	|-
10	|-	|-	|-	|-	|-	|-	|-	|-	|2.63	|-
